GlyTouCanAccession,GlycomeDBID,GlycOID,Enzyme:RefSeqAccession,Enzyme:GeneID,Enzyme:GeneName,Enzyme:Description,Enzyme:TaxonomyID,Enzyme:Organism
G58969RU,38373,GOG882,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G29445ZK,13692,GOG366,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G29445ZK,13692,GOG366,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G29445ZK,13692,GOG366,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G29445ZK,13692,GOG366,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G29445ZK,13692,GOG366,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G29445ZK,13692,GOG366,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G29445ZK,13692,GOG366,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G29445ZK,13692,GOG366,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G29445ZK,13692,GOG366,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G29445ZK,13692,GOG366,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G29445ZK,13692,GOG366,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G29445ZK,13692,GOG366,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G32889SE,35185,GOG592,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G32889SE,35185,GOG592,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G32889SE,35185,GOG592,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G32889SE,35185,GOG592,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G32889SE,35185,GOG592,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G32889SE,35185,GOG592,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G32889SE,35185,GOG592,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G74438AB,13555,GOG335,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G74438AB,13555,GOG335,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G74438AB,13555,GOG335,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G74438AB,13555,GOG335,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G74438AB,13555,GOG335,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G74438AB,13555,GOG335,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G74438AB,13555,GOG335,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G79950YS,10467,GOG252,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G79950YS,10467,GOG252,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G79950YS,10467,GOG252,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G79950YS,10467,GOG252,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G79950YS,10467,GOG252,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G79950YS,10467,GOG252,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G79950YS,10467,GOG252,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G79950YS,10467,GOG252,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G79950YS,10467,GOG252,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G79950YS,10467,GOG252,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G79950YS,10467,GOG252,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G79950YS,10467,GOG252,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G80085KS,8760,GOG226,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G80085KS,8760,GOG226,NM_016893,53618,Fut8,fucosyltransferase 8,10090,Mus musculus
G80085KS,8760,GOG226,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G80085KS,8760,GOG226,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G80085KS,8760,GOG226,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G80085KS,8760,GOG226,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G80085KS,8760,GOG226,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G80085KS,8760,GOG226,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G80085KS,8760,GOG226,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G80085KS,8760,GOG226,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G80085KS,8760,GOG226,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G80085KS,8760,GOG226,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G80085KS,8760,GOG226,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G57092OJ,13923,GOG445,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G57092OJ,13923,GOG445,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G57092OJ,13923,GOG445,NM_016893,53618,Fut8,fucosyltransferase 8,10090,Mus musculus
G57092OJ,13923,GOG445,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G57092OJ,13923,GOG445,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G57092OJ,13923,GOG445,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G57092OJ,13923,GOG445,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G57092OJ,13923,GOG445,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G57092OJ,13923,GOG445,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G57092OJ,13923,GOG445,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G57092OJ,13923,GOG445,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G57092OJ,13923,GOG445,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G57092OJ,13923,GOG445,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G33241WC,5288,GOG72,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G33241WC,5288,GOG72,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G33241WC,5288,GOG72,NM_016893,53618,Fut8,fucosyltransferase 8,10090,Mus musculus
G33241WC,5288,GOG72,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G33241WC,5288,GOG72,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G33241WC,5288,GOG72,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G33241WC,5288,GOG72,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G33241WC,5288,GOG72,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G33241WC,5288,GOG72,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G33241WC,5288,GOG72,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G33241WC,5288,GOG72,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G33241WC,5288,GOG72,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G33241WC,5288,GOG72,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G21359NQ,38332,GOG841,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G21359NQ,38332,GOG841,NM_016893,53618,Fut8,fucosyltransferase 8,10090,Mus musculus
G21359NQ,38332,GOG841,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G21359NQ,38332,GOG841,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G21359NQ,38332,GOG841,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G21359NQ,38332,GOG841,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G21359NQ,38332,GOG841,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G21359NQ,38332,GOG841,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G21359NQ,38332,GOG841,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G21359NQ,38332,GOG841,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G21359NQ,38332,GOG841,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G21359NQ,38332,GOG841,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G21359NQ,38332,GOG841,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G33608TH,14712,GOG575,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G33608TH,14712,GOG575,NM_016893,53618,Fut8,fucosyltransferase 8,10090,Mus musculus
G33608TH,14712,GOG575,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G33608TH,14712,GOG575,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G33608TH,14712,GOG575,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G33608TH,14712,GOG575,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G33608TH,14712,GOG575,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G33608TH,14712,GOG575,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G33608TH,14712,GOG575,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G33608TH,14712,GOG575,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G33608TH,14712,GOG575,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G33608TH,14712,GOG575,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G33608TH,14712,GOG575,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G51115OW,38279,GOG787,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G51115OW,38279,GOG787,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G51115OW,38279,GOG787,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G51115OW,38279,GOG787,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G51115OW,38279,GOG787,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G51115OW,38279,GOG787,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G51115OW,38279,GOG787,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G51115OW,38279,GOG787,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G51115OW,38279,GOG787,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G51115OW,38279,GOG787,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G51115OW,38279,GOG787,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G51115OW,38279,GOG787,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G96719MC,13872,GOG420,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G96719MC,13872,GOG420,NM_016893,53618,Fut8,fucosyltransferase 8,10090,Mus musculus
G96719MC,13872,GOG420,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G96719MC,13872,GOG420,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G96719MC,13872,GOG420,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G96719MC,13872,GOG420,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G96719MC,13872,GOG420,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G96719MC,13872,GOG420,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G96719MC,13872,GOG420,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G96719MC,13872,GOG420,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G96719MC,13872,GOG420,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G96719MC,13872,GOG420,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G96719MC,13872,GOG420,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G77058YR,14017,GOG474,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G77058YR,14017,GOG474,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G77058YR,14017,GOG474,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G77058YR,14017,GOG474,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G77058YR,14017,GOG474,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G77058YR,14017,GOG474,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G26298FT,35188,GOG595,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G26298FT,35188,GOG595,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G26298FT,35188,GOG595,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G26298FT,35188,GOG595,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G26298FT,35188,GOG595,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G26298FT,35188,GOG595,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G26298FT,35188,GOG595,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G26298FT,35188,GOG595,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G26298FT,35188,GOG595,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G26298FT,35188,GOG595,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G26298FT,35188,GOG595,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G26298FT,35188,GOG595,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G79804QG,38105,GOG612,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G79804QG,38105,GOG612,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G79804QG,38105,GOG612,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G79804QG,38105,GOG612,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G79804QG,38105,GOG612,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G79804QG,38105,GOG612,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G79804QG,38105,GOG612,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G79804QG,38105,GOG612,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G79804QG,38105,GOG612,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
