UniProt Acc(canonical),status,gene_symbol,reviewed_isoforms,unreviewed_isoforms
P51610-1,reviewed,HCFC1,P51610-1|P51610-2|P51610-3|P51610-4,H7C1C4-1
P24046-1,reviewed,GABRR1,P24046-1|P24046-2|P24046-3,F8WB88-1
A0A1W2PRU2-1,unreviewed,ENSG00000284267,,A0A1W2PRU2-1
Q8IUA7-1,reviewed,ABCA9,Q8IUA7-1|Q8IUA7-2|Q8IUA7-3|Q8IUA7-4|Q8IUA7-5,K7EJJ0-1
Q1XH10-1,reviewed,SKIDA1,Q1XH10-1,F5H7M0-1
Q8N9A8-1,reviewed,CNEP1R1,Q8N9A8-1|Q8N9A8-2|Q8N9A8-3,H3BLY8-1
Q9H832-1,reviewed,UBE2Z,Q9H832-1|Q9H832-2,H0Y9X8-1
Q16538-1,reviewed,GPR162,Q16538-1|Q16538-2,U3KQI6-1
A6NEH8-1,reviewed,HGNC:23525,A6NEH8-1,
Q02161-1,reviewed,RHD,Q02161-1|Q02161-2|Q02161-3|Q02161-4|Q02161-5|Q02161-6,E7EVW1-1
P25100-1,reviewed,ADRA1D,P25100-1,
Q6ZRI8-1,reviewed,ARHGAP36,Q6ZRI8-1|Q6ZRI8-2|Q6ZRI8-3|Q6ZRI8-4|Q6ZRI8-5,X6RIA0-1
P13284-1,reviewed,IFI30,P13284-1,M0QZG3-1
B4DH59-1,reviewed,NBPF26,B4DH59-1,A0A075B7F9-1
Q96AE7-1,reviewed,TTC17,Q96AE7-1|Q96AE7-2,E9PN79-1
P10266-1,reviewed,HGNC:39004,P10266-1,
P29016-1,reviewed,CD1B,P29016-1|P29016-2,H7C0I2-1
Q70HW3-1,reviewed,SLC25A26,Q70HW3-1|Q70HW3-2|Q70HW3-3,F8WAB8-1
Q08211-1,reviewed,DHX9,Q08211-1|Q08211-2,
Q68BL7-1,reviewed,OLFML2A,Q68BL7-1|Q68BL7-2|Q68BL7-3,Q5JTM7-1
Q8N2C9-1,reviewed,HGNC:23821,Q8N2C9-1,
P78524-1,reviewed,ST5,P78524-1|P78524-2|P78524-3,E9PK36-1
O75019-1,reviewed,LILRA1,O75019-1|O75019-2,A0A0G2JP96-1
Q96AT9-1,reviewed,RPE,Q96AT9-1|Q96AT9-2|Q96AT9-3|Q96AT9-4|Q96AT9-5,F8WBT4-1
Q6P996-1,reviewed,PDXDC1,Q6P996-1|Q6P996-2|Q6P996-3|Q6P996-4|Q6P996-5,H3BNL6-1
Q8N831-1,reviewed,TSPYL6,Q8N831-1,
A0A0G2JNS6-1,unreviewed,ENSG00000275949,,A0A0G2JNS6-1
A8MQ27-1,reviewed,NEURL1B,A8MQ27-1|A8MQ27-2|A8MQ27-3,
Q9UPC5-1,reviewed,GPR34,Q9UPC5-1,Q3SAH0-1
Q9UN86-1,reviewed,G3BP2,Q9UN86-1|Q9UN86-2,D6RB17-1
Q8NFQ6-1,reviewed,BPIFC,Q8NFQ6-1|Q8NFQ6-2,Q5TI88-1
Q16630-1,reviewed,CPSF6,Q16630-1|Q16630-2|Q16630-3,F8VNP8-1
P0C7L1-1,reviewed,SPINK8,P0C7L1-1,
Q96N58-1,reviewed,ZNF578,Q96N58-1,M0QZV4-1
Q9P2D6-1,reviewed,FAM135A,Q9P2D6-1|Q9P2D6-2|Q9P2D6-3|Q9P2D6-4,H7BXC5-1
Q5VZM2-1,reviewed,RRAGB,Q5VZM2-1|Q5VZM2-2,Q5VZM0-1
Q6JQN1-1,reviewed,ACAD10,Q6JQN1-1|Q6JQN1-2|Q6JQN1-3|Q6JQN1-4|Q6JQN1-5,F8W0Q4-1
Q9P0J7-1,reviewed,KCMF1,Q9P0J7-1,C9JSW5-1
Q9UIY3-1,reviewed,RWDD2A,Q9UIY3-1|Q9UIY3-2,
O00194-1,reviewed,RAB27B,O00194-1,K7EJ38-1
Q09666-1,reviewed,AHNAK,Q09666-1|Q09666-2,E9PKR9-1
M0QY20-1,unreviewed,ENSG00000268797,,M0QY20-1
Q9BQ39-1,reviewed,DDX50,Q9BQ39-1,S4R3V4-1
A6NKC9-1,reviewed,SH2D7,A6NKC9-1,B8ZZB5-1
Q6IPT4-1,reviewed,CYB5RL,Q6IPT4-1|Q6IPT4-3|Q6IPT4-4,E9PMD3-1
Q8TE12-1,reviewed,LMX1A,Q8TE12-1|Q8TE12-2,
Q8NGM8-1,reviewed,OR6M1,Q8NGM8-1,
O60765-1,reviewed,ZNF354A,O60765-1,E5RHT5-1
Q8NG95-1,reviewed,OR7G3,Q8NG95-1,
Q9UBU7-1,reviewed,DBF4,Q9UBU7-1|Q9UBU7-2,F8WF77-1
A0A1B0GUT8-1,unreviewed,ENSG00000226733,,A0A1B0GUT8-1
Q8TD31-1,reviewed,CCHCR1,Q8TD31-3|Q8TD31-1|Q8TD31-2,D6RBG1-1
Q9HD45-1,reviewed,TM9SF3,Q9HD45-1,Q5TB53-1
Q6NXT6-1,reviewed,TAPT1,Q6NXT6-1|Q6NXT6-2,H0Y985-1
O14519-1,reviewed,CDK2AP1,O14519-1|O14519-2,F5GZF0-1
Q6ZW13-1,reviewed,C16orf86,Q6ZW13-1,A0A087X1J0-1
Q8N5L8-1,reviewed,RPP25L,Q8N5L8-1,
Q9Y2V0-1,reviewed,C15orf41,Q9Y2V0-1|Q9Y2V0-2,H3BS01-1
Q9UBS5-1,reviewed,GABBR1,Q9UBS5-1|Q9UBS5-2|Q9UBS5-3|Q9UBS5-4|Q9UBS5-5,C9JZG6-1
A6NKF1-1,reviewed,SAC3D1,A6NKF1-1|A6NKF1-2,H0YEW7-1
P11831-1,reviewed,SRF,P11831-1,
Q96NJ6-1,reviewed,ZFP3,Q96NJ6-1,
P49771-1,reviewed,FLT3LG,P49771-1|P49771-2|P49771-3,M0QYM9-1
P0DMU3-1,reviewed,-,P0DMU3-1,
O60359-1,reviewed,CACNG3,O60359-1,
Q5VV52-1,reviewed,ZNF691,Q5VV52-1|Q5VV52-2|Q5VV52-3,A0A0A0MRR1-1
Q8N428-1,reviewed,GALNT16,Q8N428-1|Q8N428-2,
Q9H7Y0-1,reviewed,CXorf36,Q9H7Y0-1|Q9H7Y0-2,
P35251-1,reviewed,RFC1,P35251-1|P35251-2,E0CX09-1
Q9BZX2-1,reviewed,UCK2,Q9BZX2-1|Q9BZX2-2,
O75161-1,reviewed,NPHP4,O75161-1|O75161-2,H0YA08-1
Q9Y5U9-1,reviewed,IER3IP1,Q9Y5U9-1,A0A1W2PNR9-1
Q96EZ4-1,reviewed,MYEOV,Q96EZ4-1,F5H0B3-1
P51674-1,reviewed,GPM6A,P51674-1|P51674-2|P51674-3,D6RD71-1
A7MD48-1,reviewed,SRRM4,A7MD48-1,A0A286YF08-1
Q9NQZ5-1,reviewed,STARD7,Q9NQZ5-1,C9JTD3-1
Q8N3U4-1,reviewed,STAG2,Q8N3U4-1|Q8N3U4-2,B1AMT4-1
Q5T7P3-1,reviewed,LCE1B,Q5T7P3-1,
Q92681-1,reviewed,RSC1A1,Q92681-1,
Q9H1N7-1,reviewed,SLC35B3,Q9H1N7-1|Q9H1N7-2|Q9H1N7-3,
Q9H161-1,reviewed,ALX4,Q9H161-1,
A2RUS2-1,reviewed,DENND3,A2RUS2-1|A2RUS2-2|A2RUS2-3|A2RUS2-4,E5RIR7-1
Q6UVK1-1,reviewed,CSPG4,Q6UVK1-1,
Q9H8M2-5,reviewed,BRD9,Q9H8M2-5|Q9H8M2-2|Q9H8M2-3|Q9H8M2-4|Q9H8M2-1|Q9H8M2-6,C9JBY0-1
Q96PG2-1,reviewed,MS4A10,Q96PG2-1,
Q9NS69-1,reviewed,TOMM22,Q9NS69-1,
P53539-1,reviewed,FOSB,P53539-1|P53539-2|P53539-3|P53539-4|P53539-5|P53539-6|P53539-7|P53539-8|P53539-9|P53539-10,K7ERZ8-1
Q8NHV5-1,reviewed,C16orf52,Q8NHV5-1|Q8NHV5-3,H3BS23-1
Q9BT30-1,reviewed,ALKBH7,Q9BT30-1,M0QZI0-1
P51993-1,reviewed,FUT6,P51993-1|P51993-2,E9PP56-1
A0A5B0-1,unreviewed,ENSG00000275743,,A0A5B0-1
A6NNA5-1,reviewed,DRGX,A6NNA5-1,
Q8NHH9-1,reviewed,ATL2,Q8NHH9-1|Q8NHH9-2|Q8NHH9-3|Q8NHH9-4|Q8NHH9-5,C9JQQ5-1
Q30KQ1-1,reviewed,DEFB133,Q30KQ1-1,
Q8N239-1,reviewed,KLHL34,Q8N239-1,
Q9BQT9-1,reviewed,CLSTN3,Q9BQT9-1|Q9BQT9-2,F5H5C6-1
P82650-1,reviewed,MRPS22,P82650-1|P82650-2,H7C5H3-1
A6NNY8-1,reviewed,USP27X,A6NNY8-1,
Q96A11-1,reviewed,GAL3ST3,Q96A11-1,
Q8N0Y7-1,reviewed,PGAM4,Q8N0Y7-1,
O95251-1,reviewed,KAT7,O95251-1|O95251-2|O95251-3|O95251-4|O95251-5,E7EUP3-1
P15538-1,reviewed,CYP11B1,P15538-1|P15538-2,Q4VAR0-1
P62266-1,reviewed,RPS23,P62266-1,D6R9I7-1
Q6PIY7-1,reviewed,PAPD4,Q6PIY7-1|Q6PIY7-2,D6RAF2-1
Q02575-1,reviewed,NHLH1,Q02575-1,
H7C0C1-1,unreviewed,ENSG00000249209,,H7C0C1-1
Q96DN0-1,reviewed,ERP27,Q96DN0-1,F5GYS6-1
P51684-1,reviewed,CCR6,P51684-1,
P56378-1,reviewed,C14orf2,P56378-1|P56378-2,G3V556-1
O75469-1,reviewed,NR1I2,O75469-1|O75469-2|O75469-3|O75469-4|O75469-5|O75469-6|O75469-7,J3KPQ3-1
I3L1E1-1,reviewed,C19orf84,I3L1E1-1,K7EN44-1
O14798-1,reviewed,TNFRSF10C,O14798-1,E9PBT0-1
Q9H322-1,reviewed,VCX2,Q9H322-1,
Q9BYR9-1,reviewed,KRTAP2-4,Q9BYR9-1,
Q9H607-1,reviewed,OCEL1,Q9H607-1,M0QY63-1
P61009-1,reviewed,SPCS3,P61009-1,
Q8NGK2-1,reviewed,OR52B4,Q8NGK2-1,
Q13207-1,reviewed,TBX2,Q13207-1,F8WCM9-1
Q9NZZ3-1,reviewed,CHMP5,Q9NZZ3-1|Q9NZZ3-2,
Q9BTD8-1,reviewed,RBM42,Q9BTD8-1|Q9BTD8-2|Q9BTD8-3|Q9BTD8-4,K7EML2-1
Q96E40-1,reviewed,SPACA9,Q96E40-1|Q96E40-2,
Q6BDS2-1,reviewed,UHRF1BP1,Q6BDS2-1,H7C1J4-1
Q8NHB7-1,reviewed,OR5K1,Q8NHB7-1,
Q9H6J7-1,reviewed,C11orf49,Q9H6J7-1|Q9H6J7-2|Q9H6J7-3|Q9H6J7-4,E9PI28-1
A6NE21-1,reviewed,HGNC:32266,A6NE21-1,
F5H5P2-1,unreviewed,ENSG00000255730,,F5H5P2-1
Q9Y615-1,reviewed,ACTL7A,Q9Y615-1,
P20585-1,reviewed,MSH3,P20585-1,
Q9ULT6-1,reviewed,ZNRF3,Q9ULT6-1|Q9ULT6-2,
P17174-1,reviewed,GOT1,P17174-1|P17174-2,
P54105-1,reviewed,CLNS1A,P54105-1,J3KN38-1
Q9UC06-1,reviewed,ZNF70,Q9UC06-1,
Q01101-1,reviewed,INSM1,Q01101-1,
Q8N7H1-1,reviewed,HGNC:26364,Q8N7H1-1,
A0A0C4DH28-1,unreviewed,TRGV4,,A0A0C4DH28-1
Q8NFU0-1,reviewed,BEST4,Q8NFU0-1,
Q6NUT3-1,reviewed,MFSD12,Q6NUT3-1|Q6NUT3-2|Q6NUT3-3|Q6NUT3-4,K7ENE1-1
Q96LR9-1,reviewed,APOLD1,Q96LR9-1|Q96LR9-2,F5GX34-1
Q9NY30-1,reviewed,BTG4,Q9NY30-1|Q9NY30-2,E9PRM5-1
A0FGR9-1,reviewed,ESYT3,A0FGR9-1|A0FGR9-2,H7BXJ6-1
P03891-1,reviewed,MT-ND2,P03891-1,
Q685J3-1,reviewed,MUC17,Q685J3-1|Q685J3-2,E7EPM4-1
Q8NFW9-1,reviewed,MYRIP,Q8NFW9-1|Q8NFW9-2|Q8NFW9-3|Q8NFW9-4|Q8NFW9-5|Q8NFW9-6,F8WFC5-1
Q5VZT2-1,reviewed,C10orf113,Q5VZT2-1|Q5VZT2-2,
Q06330-1,reviewed,RBPJ,Q06330-6|Q06330-1|Q06330-2|Q06330-3|Q06330-4|Q06330-5|Q06330-7,D6R9X3-1
Q96FL8-1,reviewed,SLC47A1,Q96FL8-1|Q96FL8-2|Q96FL8-3,J3KRZ3-1
Q92630-1,reviewed,DYRK2,Q92630-1|Q92630-2,F5GXG1-1
Q8NGI4-1,reviewed,OR4D11,Q8NGI4-1,
A0A1W2PNV4-1,unreviewed,ENSG00000284292,,A0A1W2PNV4-1
Q8N257-1,reviewed,HIST3H2BB,Q8N257-1,
Q9NWS0-1,reviewed,PIH1D1,Q9NWS0-1|Q9NWS0-2|Q9NWS0-3,M0QZM3-1
P60981-1,reviewed,DSTN,P60981-1|P60981-2,F6RFD5-1
P69892-1,reviewed,HBG2,P69892-1,
Q9Y4P9-1,reviewed,SPEF1,Q9Y4P9-1|Q9Y4P9-2,
Q16676-1,reviewed,FOXD1,Q16676-1,
Q8WU49-1,reviewed,C7orf33,Q8WU49-1,
O94955-1,reviewed,RHOBTB3,O94955-1,D6RG10-1
Q9UBC2-1,reviewed,EPS15L1,Q9UBC2-1|Q9UBC2-2|Q9UBC2-3|Q9UBC2-4,M0R1V5-1
P21941-1,reviewed,MATN1,P21941-1,
Q9UMX2-1,reviewed,OAZ3,Q9UMX2-2|Q9UMX2-1,A0A0G2JH29-1
Q5TBB1-1,reviewed,RNASEH2B,Q5TBB1-1|Q5TBB1-2,A0A087WZJ6-1
Q6P1N9-1,reviewed,TATDN1,Q6P1N9-1|Q6P1N9-2,E5RGF2-1
Q6T311-1,reviewed,ARL9,Q6T311-1|Q6T311-2,A0A1W2PS79-1
Q13976-1,reviewed,PRKG1,Q13976-1|Q13976-2|Q13976-3,B1ALS0-1
Q8N4B5-1,reviewed,PRR18,Q8N4B5-1,E9PL31-1
A6NEM1-1,reviewed,GOLGA6L9,A6NEM1-1|A6NEM1-2,
Q71H61-1,reviewed,ILDR2,Q71H61-1,E9PLS0-1
P78540-1,reviewed,ARG2,P78540-1,
Q17RY6-1,reviewed,LY6K,Q17RY6-1|Q17RY6-2,H0YB07-1
Q8IYI6-1,reviewed,EXOC8,Q8IYI6-1,
P35475-1,reviewed,IDUA,P35475-1|P35475-2,D6REB5-1
Q8WWU7-1,reviewed,ITLN2,Q8WWU7-1|Q8WWU7-2,
P19338-1,reviewed,NCL,P19338-1,C9JLB1-1
Q96JD6-1,reviewed,AKR1E2,Q96JD6-1|Q96JD6-2|Q96JD6-3|Q96JD6-4|Q96JD6-5,G3V1C1-1
Q99733-1,reviewed,NAP1L4,Q99733-1|Q99733-2,E9PKI2-1
Q9H3D4-1,reviewed,TP63,Q9H3D4-1|Q9H3D4-2|Q9H3D4-3|Q9H3D4-4|Q9H3D4-5|Q9H3D4-6|Q9H3D4-7|Q9H3D4-8|Q9H3D4-9|Q9H3D4-10|Q9H3D4-11|Q9H3D4-12,C9JW72-1
Q9UBU2-1,reviewed,DKK2,Q9UBU2-1,D6RCC2-1
Q14028-1,reviewed,CNGB1,Q14028-1|Q14028-2|Q14028-3|Q14028-4,H3BQW3-1
Q92841-4,reviewed,DDX17,Q92841-4|Q92841-1|Q92841-2|Q92841-3,A0A1W2PQ51-1
Q5T2T1-1,reviewed,MPP7,Q5T2T1-1|Q5T2T1-2,S4R337-1
O43829-1,reviewed,ZBTB14,O43829-1,J3KRQ2-1
Q9HCH5-1,reviewed,SYTL2,Q9HCH5-1|Q9HCH5-2|Q9HCH5-4|Q9HCH5-6|Q9HCH5-7|Q9HCH5-8|Q9HCH5-9|Q9HCH5-11|Q9HCH5-12|Q9HCH5-13|Q9HCH5-14|Q9HCH5-15,A0A0U1RRJ3-1
Q3SXP7-1,reviewed,KIAA1644,Q3SXP7-1,
Q9NPD7-1,reviewed,NRN1,Q9NPD7-1,A0A087WWT2-1
A0A075B6Q4-1,unreviewed,ENSG00000280148,,A0A075B6Q4-1
P40305-1,reviewed,IFI27,P40305-1,A0A087WUJ8-1
P50993-1,reviewed,ATP1A2,P50993-1,H0Y7C1-1
Q9Y2C3-1,reviewed,B3GALT5,Q9Y2C3-1,A0A0A0MS93-1
Q86U06-1,reviewed,RBM23,Q86U06-2|Q86U06-1|Q86U06-3|Q86U06-4|Q86U06-5,A0A0B4J267-1
A6NDX4-1,reviewed,-,A6NDX4-1,
Q6ZNB6-1,reviewed,NFXL1,Q6ZNB6-1|Q6ZNB6-2,
Q9Y6Q5-1,reviewed,AP1M2,Q9Y6Q5-1|Q9Y6Q5-2,K7EPI9-1
Q96LT7-1,reviewed,C9orf72,Q96LT7-1|Q96LT7-2,
O00221-1,reviewed,NFKBIE,O00221-1,H3BNC2-1
Q08334-1,reviewed,IL10RB,Q08334-1,H7C0Z5-1
A0A0J9YWN2-1,unreviewed,IGHJ2,,A0A0J9YWN2-1
Q8N6N6-1,reviewed,NATD1,Q8N6N6-1,
Q8N122-1,reviewed,RPTOR,Q8N122-1|Q8N122-2|Q8N122-3,I3L2I3-1
O96014-1,reviewed,WNT11,O96014-1,H8YS97-1
Q5VSL9-1,reviewed,STRIP1,Q5VSL9-1|Q5VSL9-2|Q5VSL9-3|Q5VSL9-4,
Q9P0L1-1,reviewed,ZKSCAN7,Q9P0L1-2|Q9P0L1-1,E7EMM9-1
Q5TH69-1,reviewed,ARFGEF3,Q5TH69-1,
A0A087X0T9-1,unreviewed,ENSG00000276087,,A0A087X0T9-1
Q9H1M4-1,reviewed,DEFB127,Q9H1M4-1,
Q96CW5-1,reviewed,TUBGCP3,Q96CW5-1|Q96CW5-2|Q96CW5-3,A0A087WU06-1
Q8N5J4-1,reviewed,SPIC,Q8N5J4-1,
Q9BXJ3-1,reviewed,C1QTNF4,Q9BXJ3-1,E9PPZ5-1
P41221-1,reviewed,WNT5A,P41221-1|P41221-2,C9J8I8-1
C9J302-1,reviewed,C4orf51,C9J302-1,
P35232-1,reviewed,PHB,P35232-1|P35232-2,C9JW96-1
Q9NYM4-1,reviewed,GPR83,Q9NYM4-1,F5GZ43-1
Q9UPN4-1,reviewed,CEP131,Q9UPN4-1|Q9UPN4-2|Q9UPN4-3,I3L2X7-1
Q9NU63-1,reviewed,ZFP57,Q9NU63-3|Q9NU63-1|Q9NU63-2,A0A140T983-1
Q9BXF9-1,reviewed,TEKT3,Q9BXF9-1,F5H115-1
O75443-1,reviewed,TECTA,O75443-1,
Q9Y473-1,reviewed,ZNF175,Q9Y473-1,F5GZI7-1
P42568-1,reviewed,MLLT3,P42568-1|P42568-2,B1APT5-1
Q9NYQ6-1,reviewed,CELSR1,Q9NYQ6-1|Q9NYQ6-2,H0Y7R9-1
P16949-1,reviewed,STMN1,P16949-1|P16949-2,A2A2D0-1
A0AVF1-1,reviewed,TTC26,A0AVF1-1|A0AVF1-2|A0AVF1-3,B7Z6R6-1
Q16659-1,reviewed,MAPK6,Q16659-1,
O75038-1,reviewed,PLCH2,O75038-1|O75038-2|O75038-3|O75038-4|O75038-5,V9GY64-1
Q15126-1,reviewed,PMVK,Q15126-1,
P20393-1,reviewed,NR1D1,P20393-1,
Q6IF00-1,reviewed,OR2T2,Q6IF00-1,
P21673-1,reviewed,SAT1,P21673-1,A6NJE6-1
Q8N335-1,reviewed,GPD1L,Q8N335-1,F8WC16-1
A0A075B6J9-1,reviewed,IGLV2-18,A0A075B6J9-1,
Q9NZU1-1,reviewed,FLRT1,Q9NZU1-1,
K7EPB6-1,unreviewed,KLRC4-KLRK1,,K7EPB6-1
A0A087WZ82-1,unreviewed,FXYD6-FXYD2,,A0A087WZ82-1
P29375-1,reviewed,KDM5A,P29375-1|P29375-2,F5H322-1
Q8IYJ2-1,reviewed,C10orf67,Q8IYJ2-1|Q8IYJ2-2,A0A1B0GUT5-1
P10074-1,reviewed,ZBTB48,P10074-1,Q5SY20-1
A4IF30-1,reviewed,SLC35F4,A4IF30-1|A4IF30-2,G3V2S4-1
Q8IW35-1,reviewed,CEP97,Q8IW35-1|Q8IW35-2,E9PG22-1
Q9BY50-1,reviewed,SEC11C,Q9BY50-1,A0A0A0MR04-1
P09601-1,reviewed,HMOX1,P09601-1,B1AHA8-1
Q7RTP0-1,reviewed,NIPA1,Q7RTP0-1|Q7RTP0-2,H0YLP7-1
Q9H009-1,reviewed,NACA2,Q9H009-1,
Q8NBV8-4,reviewed,SYT8,Q8NBV8-4|Q8NBV8-1,F8WBL4-1
Q29865-1,reviewed,HLA-C,Q29865-1,A0A140T937-1
P29692-1,reviewed,EEF1D,P29692-1|P29692-2|P29692-3|P29692-4,E9PQZ1-1
P23416-1,reviewed,GLRA2,P23416-1|P23416-2|P23416-3,C9JBL4-1
Q96KX0-1,reviewed,LYZL4,Q96KX0-1,
O94967-1,reviewed,WDR47,O94967-1|O94967-2|O94967-3|O94967-4,E9PR96-1
Q9P2E9-1,reviewed,RRBP1,Q9P2E9-1|Q9P2E9-2|Q9P2E9-3,V9GY78-1
A5PKW4-1,reviewed,PSD,A5PKW4-1|A5PKW4-2,A0A1B0GUT6-1
Q8N149-1,reviewed,LILRA2,Q8N149-1|Q8N149-2|Q8N149-3|Q8N149-4,A0A087WT41-1
P0DMU9-1,reviewed,CT45A10,P0DMU9-1,
Q5SY68-1,reviewed,S100A7L2,Q5SY68-1,
A0A1W2PR75-1,unreviewed,SSU72P8,,A0A1W2PR75-1
B1AMM8-1,reviewed,HGNC:31372,B1AMM8-1,
Q6IQ55-1,reviewed,TTBK2,Q6IQ55-1|Q6IQ55-2|Q6IQ55-3,H3BTY5-1
Q7Z2Y8-1,reviewed,HGNC:25813,Q7Z2Y8-1,
P62633-1,reviewed,CNBP,P62633-1|P62633-2|P62633-3|P62633-4|P62633-5|P62633-6|P62633-7|P62633-8,D6RAT4-1
Q9UJY5-1,reviewed,GGA1,Q9UJY5-1|Q9UJY5-2|Q9UJY5-3|Q9UJY5-4|Q9UJY5-5|Q9UJY5-6,B0QYR9-1
Q9HAY2-1,reviewed,MAGEF1,Q9HAY2-1,
Q99504-1,reviewed,EYA3,Q99504-1|Q99504-2|Q99504-3|Q99504-4|Q99504-5,B1APR7-1
Q9C0K1-1,reviewed,SLC39A8,Q9C0K1-1|Q9C0K1-2|Q9C0K1-3,
P63000-1,reviewed,RAC1,P63000-1|P63000-2,
Q86VM9-1,reviewed,ZC3H18,Q86VM9-1|Q86VM9-2,H3BRH3-1
Q96M61-1,reviewed,MAGEB18,Q96M61-1,
Q9NY97-1,reviewed,B3GNT2,Q9NY97-1|Q9NY97-2,
P0C843-1,reviewed,HGNC:16506,P0C843-1,
Q99697-1,reviewed,PITX2,Q99697-3|Q99697-1|Q99697-2,D6RBG8-1
Q16517-1,reviewed,NNAT,Q16517-1|Q16517-2,
P30405-1,reviewed,PPIF,P30405-1|P30405-2,R4GN99-1
O00418-1,reviewed,EEF2K,O00418-1,H3BRH4-1
Q4ZG55-1,reviewed,GREB1,Q4ZG55-1|Q4ZG55-2|Q4ZG55-3|Q4ZG55-4,A0A0D9SG99-1
Q9Y6M5-1,reviewed,SLC30A1,Q9Y6M5-1,
Q9UNP9-1,reviewed,PPIE,Q9UNP9-1|Q9UNP9-2|Q9UNP9-3,E9PIB0-1
Q9NPI9-1,reviewed,KCNJ16,Q9NPI9-1,K7ELL5-1
Q5VXD3-1,reviewed,SAMD13,Q5VXD3-1|Q5VXD3-2|Q5VXD3-3|Q5VXD3-4,H7BZX5-1
Q9BUV8-1,reviewed,C20orf24,Q9BUV8-1|Q9BUV8-2|Q9BUV8-3|Q9BUV8-4|Q9BUV8-5,A0A1W2PS95-1
O00203-1,reviewed,AP3B1,O00203-1|O00203-3,H0YBD0-1
Q8TCY9-1,reviewed,URGCP,Q8TCY9-1|Q8TCY9-2|Q8TCY9-3|Q8TCY9-4,C9JKA8-1
Q9H553-1,reviewed,ALG2,Q9H553-1|Q9H553-2,A0A0A0MTE0-1
Q9H307-1,reviewed,PNN,Q9H307-1|Q9H307-2,G3V5F0-1
Q9HB29-1,reviewed,IL1RL2,Q9HB29-1|Q9HB29-2,C9K0I8-1
